notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
3/26/2020,Temporary Plant Layoff,"Team Member Services LLC, dba Autobahn Indoor Speedway","2272 Palisades Center Dr. West Nyack, NY 10994",(904) 425-5005 Ext,Go-kart track,27,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/18/2020,Temporary Plant Closing,Allen Boulevard Corp.,"71 Allen Blvd. Farmingdale, NY 11735",-----,Industrial Machinery & Equipment,18,18,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,"United Food and Commercial Workers Union, Local 2013",Temporary Plant Closing
3/26/2020,Temporary Plant Layoff,"Levene Gouldin & Thompson, LLP","450 Plaza Drive Vestal, NY 13850",(607) 584-5776,Attorney's Office,31,-----,3/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,"Positive Promotions, Inc.","15 Gilpin Ave. Hauppauge, NY 11788",(631) 486-2316,Promotional Product Supplier,236,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,"Local 6559 Warehouse and Production Employees Union, AFL-CIO",Temporary Plant Closing
3/26/2020,Temporary Plant Layoff,Akwesasne Mohawk Casino Resort,"873 NY-37 Hogansburg, NY 13655",(518) 358-2222 Ext,Casino Hotel,700,776,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/26/2020,Temporary Plant Layoff,Inn at Fox Hollow,"7755 Jericho Turnpike Woodbury, NY 11797",-----,Hotel,58,-----,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/26/2020,Temporary Plant Layoff,Scotto Brothers Corporate Office,"40 Crossways Park Drive, Suite 100 Woodbury, NY 11797",-----,Restaurant,3,-----,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,"Coast Professional, Inc.","611 Jamison Road Elmira, NY 14059",(585) 683-5280,Collection Agency,146,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/25/2020,Temporary Plant Closing,"Waxing Centers of Buffalo, LLC","3211 Southwestern Blvd. Orchard Park, NY 14127",(716) 674-3736,Waxing Services,93,104,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Layoff,"Fireman Hospitality Group Café Concepts, Inc. dba Café Concepts","890 Seventh Avenue New York, NY 10019",(646) 927-0383,Restaurant,143,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Closing,USE LX LLC dba Lexus Intersect,"412 West 14th Street New York, NY 10014",(917) 406-6702,Catering,62,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/2/2020,Temporary Plant Closing,HLD Tribeca LLC dba Sushi of Gari Tribeca,"130 West Broadway New York, NY 10013",(212) 517-5340 Ext,Restaurant,22,22,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,Varflex Corporation,"512 W. Court Street Rome, NY 13440",(315) 336-4400,Electrical Supply Store,145,145,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/23/2020,Temporary Plant Layoff,"Elizabeth Wende Breast Care, LLC","170 Sawgrass Drive Rochester, NY 14620",(585) 758-7003,Health Care Provider - Mammography,78,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/26/2020,Temporary Plant Layoff,The Ritz-Carlton New York Central Park,"50 Central Park South New York, NY 10019",(212) 521-6025,Hotel,315,326,3/14/2020,Unforeseeable business circumstances prompted by COVID-19,New York Hotel Trades Council,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,American Management Association International (NYC),"1601 Broadway New York, NY 10019",(212) 903-8018,Consulting Group,23,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,American Management Association International (Saranac Lake),"600 AMA Way Saranac Lake, NY 12983",(212) 903-8018,Consulting Group,46,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Plant Closing,P.F. Chang's China Bistro (Westbury - Store #4800),"1504 Old Country Rd #B9A Westbury, NY 11590",(480) 318-9583,Restaurant,118,118,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Closing
3/30/2020,Temporary Plant Layoff,"Harbor Day Care Center, Inc. dba Harbor Child Care","999 Herricks Road New Hyde Park, NY 11040",(516) 248-5002,Education and Child Care,272,276,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Layoff,"Two's Company, Inc.","500 Saw Mill Road Elmsford, NY 10523",(914) 345-2222,Retail,109,-----,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/2/2020,Temporary Plant Closing,"HLD Columbus LLC, dba Gari Columbus","370 Columbus Avenue New York, NY 10024",(212) 517-5340 Ext,Restaurant,30,-----,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/2/2020,Temporary Plant Closing,"HLD Gari LLC, dba Sushi of Gari Upper East Side","402 East 78th Street New York, NY 10075",(212) 517-5340 Ext,Restaurant,25,25,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Layoff,"Mark Former, M.D., P.C. and Mark Fromer LLC","500 Park Avenue New York, NY 10065",(212) 832-9228,Ophthalmologist,105,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/18/2020,Temporary Plant Closing,Evelyn Hotel LLC,"7 East 27th Street New York, NY 10016",(212) 453-4021,Hotel,45,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/18/2020,Temporary Plant Closing,Iroquois Hotel LLC,"49 West 44th Street New York, NY 10036",(212) 453-4021,Hotel,50,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/18/2020,Temporary Plant Closing,"Washington Jefferson Hotel, LLC","318 West 51st Street New York, NY 10019",(212) 453-4021,Hotel,45,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/18/2020,Temporary Plant Closing,Belleclaire Hotel LLC,"2175 Broadway New York, NY 10024",(212) 453-4021,Hotel,55,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/18/2020,Temporary Plant Closing,"Edison Hotel, LLC","228 West 47th Street New York, NY 10036",(212) 453-4021,Hotel,250,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/18/2020,Temporary Plant Closing,Frederick Hotel,"318 West 51st Street New York, NY 10019",(212) 453-4021,Hotel,45,-----,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/18/2020,Temporary Palnt Closing,Harvard Club of New York,"35 West 44th Street New York, NY 10036",(347) 702-3444,Hotel,275,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/17/2020,Temporary Plant Closing,Silver Autumn Hotel Corporation LTD dba Warwick New York Hotel,"65 West 54th Street New York, NY 10019",(212) 314-7833,Hotel,275,275,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/25/2020,Plant Layoff,"Greyhound Lines, Inc.","625 8th Avenue New York, NY 10018",(214) 849-8605,Transportation Company,114,-----,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/27/2020,Temporary Plant Layoff,ABCO Refrigeration Supply Corp.,"66-26 Metropolitan Ave. Middle Village, NY 11379",(347) 738-1251,Refrigeration Wholesaler,32,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Closing,Fairfield Inn - NY Downtown Manhattan World Trade Center Area,"100 Greenwich Street New York, NY 10006",(703) 489-4450,Hotel,-----,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Closing,"Oki Ringo dba Covina, o ya, & Roof @ Park South","124 East 28th Street New York, NY 10016",(347) 538-8019,Restaurant,104,104,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,Boqueria Operations LLC and Jaleo Management LLC (multiple sites),"260 West 40th Street New York, NY 10018",(212) 477-9400,Restaurant,324,324,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/25/2020,Temporary Plant Layoff,InterContinental New York Times Square,"300 West 44th Street New York, NY 10036",(212) 803-4532,Hotel,310,-----,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,"Sweet Chick LES, LLC dba Sweet Chick","178 Ludlow Street New York, NY 10002",(347) 653-2478,Restaurant,45,45,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Layoff,"Paragon Sports, LLC","867 Broadway New York, NY 10003",(212) 255-8036 Ext,Sporting Goods,230,-----,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/24/2020,Temporary Plant Closing,Milos Inc. dba Estiatorio Milos,"125 W. 55th Street New York, NY 10019",(717) 606-6367,Restaurant,180,180,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Closing,"228 West 10th Street, LLC dba L'Artusi","228 West 10th Street New York, NY 10014",(347) 653-2478,Restaurant,110,110,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Closing,34 8th Avenue LLC dba Anfora,"34 8th Avenue New York, NY 10014",(347) 653-2478,Restaurant,11,11,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Closing,Greener Pastures Management Corp. dba Irving Farm Coffee Roasters,"151 W. 19th Street New York, NY 10011",(347) 653-2478,Restaurant,119,119,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Layoff,Fireman Hospitality Group Café Concepts dba Café Concepts (multiple locations),"888 7th Avenue New York, NY 10106",(646) 927-0383,Restaurant,563,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,Capitol Fire Sprinkler Co. Inc.,"51-51 59th Place Queens, NY 11377",(718) 533-6800 Ext,Fire Sprinkler Installation,58,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/19/2020,Temporary Plant Layoff,"Quixote Studios, LLC","1082 Flushing Avenue Brooklyn, NY 11237",(323) 512-6328,Studio Equipment,6,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,S.P.E.A.R. Physical and Occupational Therapy PLLC (19 NYC Locations),"307 Fifth Avenue New York, NY 10016",(646) 790-7457,Physcial and Occupational Therapy,133,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,S.P.E.A.R. Physical and Occupational Therapy PLLC,"220 Tompkins Avenue Pleasantville, NY 10570",(646) 790-7457,Physical and Occupational Therapy,-----,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/25/2020,Temporary Plant Layoff,Hanky Panky Ltd.,"373 Park Avenue South New York, NY 10016",(646) 388-7147,Undergarments,94,-----,3/25/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/23/2020,Temporary Plant Closing,Hornell Furniture Outlet,"181 Main Street Hornell, NY 14843",-----,Furniture,25,25,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/23/2020,Temporary Plant Layoff,"T&L Automatics, Inc.","770 Emerson Street Rochester, NY 14613",(585) 647-3717,Machine Shop,111,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/26/2020,Temporary Plant Layoff,"Alsco, Inc.","548 St. Paul Street Rochester, NY 14605",(583) 454-5988,Linen and Uniform Supply,52,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,Workers United - Rochester Regional Joint Board,Temporary Plant Layoff
3/30/2020,Plant Layoff,44 Restaurant LLC dba The Lambs Club,"130 W 44th Street New York, NY 10036",(212) 991-8096,Restaurant,133,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/16/2020,Temporary Plant Closing,Burger & Lobster Bryant Park LLC,"132 West 43rd Street New York, NY 10036",(917) 930-7336,Restaurant,80,80,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,Food 2 Lex LLC,"2 Lexington Avenue New York, NY 10010",(917) 406-6702,Catering,184,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,"28 Liberty F&B Management, LLC","28 Liberty Street New York, NY 10005",(917) 406-6702,Catering,178,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,"Art Food, LLC","9 West 53rd Street New York, NY 10019",(917) 406-6702,Catering,273,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,29th Street NY Food and Beverage Operating Company LLC,"29 East 29th Street New York, NY 10016",(917) 406-6702,Catering,165,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Plant Closing,"Union Square Hospitality Group (USHG), LLC","853 Broadway New York, NY 10003",(917) 406-6702,Catering,45,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/31/2020,Temporary Closing,Hudson Yards Catering LLC,"640 West 28th Street New York, NY 10001",(917) 406-6702,Catering,416,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Closing
3/18/2020,Temporary Plant Layoff,Hudson Hotel,"358 West 58th Street New York, NY 10019",(212) 453-6400,Hotel,212,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
3/31/2020,Temporary Plant Closing,"Martinique New York on Broadway, Curio Collection by Hilton Hotel","49 West 32nd Street New York, NY 10001",(212) 277-2685,Hotel,123,123,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/27/2020,Temporary Plant Closing,Momofuku (multiple locations),"232 Eight Avenue New York, NY 10011",(732) 567-8720,Restaurant,331,-----,3/14/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Layoff,The Garden City Hotel,"45 Seventh St. Garden City, NY 11530",(516) 877-9341,Hotel,290,-----,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Layoff,Glenn Wayne Bakery,"1800 Arctic Ave. Bohemia, NY 11716",(631) 289-9200,Bakery,57,-----,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/30/2020,Temporary Plant Closing,Yeshivah of Flatbush  (2 locations),"919 East 10th Street Brooklyn, NY 11230",(718) 377-4040 Ext,School,34,34,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant  Closing
3/27/2020,Temporary Plant Closing,Rony Elka Vardi Inc. dba Catbird,"219 Bedford Ave. Brooklyn, NY 11211",(917) 900-4783 Ext,Retail & Light Manufacturing,112,136,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Layoff,v,"2265 Third Avenue New York, NY 10035",(212) 289-6650 Ext,Social services organization,29,110,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,SEIU 1199,Temporary Plant Layoff
3/31/2020,Temporary Plant Closing,Primark US Corp.,"5100 Kings Plaza Brooklyn, NY 11234",(781) 473-3781,Clothing Store,395,395,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/23/2020,Temporary Plant Closing,We Sell Cellular LLC,"150 Executive Drive Edgewood, NY 11717",(631) 793-9850,Cellular Sales,38,42,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
1/15/2020,Plant Closing,Blakely LLC dba the Blakely Hotel,"136 West 55th Street New York, NY 10019",(212) 245-1800,Hotel,54,54,Separations are expected to occur during the 14-day period starting on 4/16/2020.,Economic,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
1/30/2020,Plant Closing,Long Island Custom Windows LLC dba Renewal by Anderson of Long Island (Call Center),"2029 New Highway Farmingdale, NY 11735",( 917) 797-0889,Call Center,29,29,"Separations will occur during the 14-day period beginning on April 29, 2020.",Economic,The employees are not represented by a union.,Plant Closing
3/25/2020,Temporary  Plant Closing,"Louis Christopher Management, LLC (multiple sites)","457 Court Street Brooklyn, NY 11231",(717) 606-6367,Restaurant,118,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/19/2020,Temporary Plant Layoff,"The Bowery Hotel, LLC","335 Bowery New York, NY 10003",(212) 505-9100,Hotel,87,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
3/19/2020,Temporary Plant Layoff,Lotte New York Palace Hotel,"455 Madison Avenue New York, NY 10022",(212) 303-6042,Hotel,335,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
3/16/2020,Temporary Plant Closing,"Tokyo Mama, Inc. dba SAKE BAR DECIBEL","240 E. 9th Street New York, NY 10003",(212) 228-3030,Restaurant,-----,-----,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Closing,Chumley's 86 LLC,"86 Bedford Street New York, NY 10014",(646) 209-1687,Restaurant,19,-----,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/25/2020,Plant Layoff,Brits on Madison LLC,"5 Madison Avenue New York, NY 10010",(267) 312-1644,Restaurant,139,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/19/2020,Temporary Plant Layoff,"Bowery F&B, LLC","335 Bowery New York, NY 10003",(212) 505-9100,Restaurant,209,-----,3/18/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/25/2020,Plant Layoff,"SRHG West, LLC","281 Park Ave. S New York, NY 10010",(267) 312-1644,Restaurant,181,-----,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
3/25/2020,Temporary Plant Layoff,The Roosevelt Hotel NYC,"45 East 45th Street New York, NY 10017",(212) 661-9600,Hotel,507,-----,3/21/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,Loews Regency New York Hotel,"540 Park Avenue New York, NY 10065",(212) 339-4002,Hotel,285,285,3/28/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/27/2020,Temporary Plant Layoff,Hudson Rooftop LLC,"18th 9th Ave. New York, NY 10014",(212) 924-2959,Restaurant,44,44,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Closing,Bagatelle Little West 12th LLC,"1 Little West 12th New York, NY 10014",(212) 924-2959,Restaurant,91,91,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,Bagatelle Downtown LLC,"18th 9th Ave. New York, NY 10014",(212) 924-2959,Restaurant,30,30,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/1/2020,Temporary Plant Closing,"Camp NYC, Inc.","30 West 21st Street, 2nd Floor New York, NY 10011",(917) 900-4783 Ext,Toy Store,91,91,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/23/2020,Temporary Plant Closing,Triomphe Restaurant Corp. dba Jean-Georges Restaurant,"1 Central Park West New York, NY 10023",(717) 606-6367,Restaurant,216,216,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/23/2020,Temporary Plant Closing,"Lucy Kitchen LLC, dba abc v","38 East 19th Street New York, NY 10003",(717) 606-6367,Restaurant,177,177,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Layoff,Levain Bakery and Engage PEO,"33 East 33rd Street, Suite 1105 New York, NY 10016",-----,Restaurant,53,53,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/23/2020,Plant Temporary Closing,"Mercer Kitchen LLC, dba Mercer Kitchen","99 Prince St. New York, NY 10012",(717) 606-6367,Restaurant,170,170,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Temporary Closing
3/24/2020,Temporary Plant Closing,"Origine LLC, dba JoJo","160 East 64th St. New York, NY 10065",(717) 606-6367,Restaurant,51,51,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/26/2020,Temporary Plant Layoff,Hotel 57 Services LLC dba Four Seasons Hotel New York,"57 East 57th Street New York, NY 10022",(718) 916-0454,Hotel,372,-----,3/21/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council Motel Trades Council, AFL-CIO, UNITE HERE",Temporary Plant Layoff
1/13/2020,Plant Closing,"Opening Ceremony, LLC","202 Centre Street, 8th & 4th Floor New York, NY 10013",(646) 942-5188,an American clothing brand and retailer,33,83,"May 4, 2020, May 20, 2020, and June 30,2020",Sale of the business to a buyer who is relocating overseas and for economic reasons.,The employees are not represented by a union.,Plant Closing
2/7/2020,Plant Closing,"Morimoto NY Venture, L.P.","88 Tenth Avenue New York, NY 10011",(267) 238-3645,Modern Japanese restaurant,113,113,"Separations will occur on May 10, 2020, or the 14-day period commencing on that date.",Expiration of building lease,The employees are not represented by a union.,Plant Closing
3/20/2020,Temporary Plant Closing,"The Sake Club, Inc. dba Kiosku","211 E 43rd Street, 1st Floor New York, NY 10017",(212) 228-3030,Restaurant,-----,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,"Hasaki Restaurant, Inc.","210 E. 9th Street New York, NY 10003",(212) 228-3030,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,"Shinko Foods, Inc. dba Curry-Ya","214 East 10th Street New York, NY 10003",(212) 228-3030,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,"Sobaya Restaurant, Inc. dba Rai Rai Ken","218 East 10th Street New York, NY 10003",(212) 228-3030 E,Restaurant,-----,-----,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/19/2020,Temporary Plant Closing,"Sobaya Restaurant, Inc. dba Sobaya","229 E. 9th Street New York, NY 10003",(212) 228-3030,Restaurant,-----,-----,3/19/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/20/2020,Temporary Plant Closing,"The Sake Club, Inc. dba Sakagura","211 E. 42rd Street, Basement Level New York, NY 10017",(212) 228-3030,Restaurant,-----,-----,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/24/2020,Temporary Plant Closing,"GBND Enterprises, Inc. dba Village Underground","130 West 3rd Street New York, NY 10012",(646) 354-1905,Music Venue,40,40,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/25/2020,Temporary Plant Closing,"The Pickle People, LLC aka Maison Pickle","2315 Broadway New York, NY 10024",(212) 671-2711,Restaurant,67,67,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Closing,"84 William Street JV, LLC dba AKA Wall Street","84 William Street New York, NY 10038",(484) 351-2006,Hotel,31,31,3/30/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO",Temporary Plant Closing
3/25/2020,Temporary Plant Closing,"Quick Pickle, LLC aka Jacob's Pickles TOM","55 Water Street, Unit #K6 Brooklyn, NY 11201",(212) 671-2711,Restaurant,10,10,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/25/2020,Temporary Plant Layoff,CRST dba Installs LLC,"241 Main Street Buffalo, NY 14203",(716) 270-9082,Satellite Supplies,179,-----,3/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
12/23/2019,Plant Closing,"Benchmark Hospitality of Westchester, LLC (Doral Arrowwood Resort)","975 Anderson Hill Road Rye Brook, NY 10573",(914) 935-6652,Resort Hotel,275,275,"The 12 remaining employees’ separation dates have been extended from the period January 6, 2020 through January 19, 2020 to March 31, 2020.",Loss of funding,The employees are not represented by a union.,Plant Closing
